id;subtopic_id;subject_id;class;question;option_a;option_a_explanation;option_b;option_b_explanation;option_c;option_c_explanation;option_d;option_d_explanation;answer;additional_notes;created_at;updated_at;user_id;question_level;question_type
1;9;;;<p>Questino</p>;<p>EL questin</p>;<p>Questionn</p>;<p>Questinon</p>;<p>Question</p>;<p>Questino</p>;<p>QUestion</p>;<p>Question</p>;<p>Question</p>;2;<p>Quustino</p>;2019-08-29 11:13:04;2019-08-29 11:13:04;;L;
2;10;;;<p>Which of the following is a collective noun?</p>;<p>Boy</p>;;<p>Tree</p>;;<p>School</p>;;<p>Flock</p>;;4;<p>Flock</p>;2019-08-29 15:33:15;2019-08-29 15:33:15;;L;
3;10;;;<p>Which of the following is a collective noun?</p>;<p>Boy</p>;;<p>School</p>;;<p>Home</p>;;<p>Flock</p>;;4;<p>Flock</p>;2019-08-29 15:34:17;2019-08-29 15:34:17;;L;
4;4;;;<p>My question</p>;<p>Option a</p>;<p>Option a</p>;<p>Option b</p>;<p>Option b</p>;<p>Option c</p>;<p>Option c</p>;<p>Option D</p>;<p>Option D</p>;2;<p>All Options are inclusive of reasoning</p>;2019-09-02 17:16:30;2019-09-02 17:16:30;;L;
5;9;;;<p>what is</p>;<p>school</p>;;<p>boy</p>;;<p>alphabet</p>;;<p>english</p>;;4;<p>english</p>;2019-09-03 08:08:02;2019-09-03 08:08:02;;L;
6;9;;;<p>Q</p>;<p>12</p>;<p>2</p>;<p>3</p>;<p>4</p>;<p>4</p>;<p>3</p>;<p>4</p>;<p>5</p>;1;<p>8</p>;2019-09-03 08:24:16;2019-09-03 08:24:16;;L;
7;9;;;<p>1</p>;<p>2</p>;<p>3</p>;<p>34</p>;<p>2</p>;<p>3</p>;<p>4</p>;<p>2</p>;<p>3</p>;3;<p>3</p>;2019-09-03 08:34:42;2019-09-03 08:34:42;;L;
8;9;;;<p>1+2</p>;<p>4</p>;;<p>3</p>;;<p>6</p>;;<p>2</p>;;2;<p>3</p>;2019-09-03 08:56:39;2019-09-03 08:56:39;;L;
9;9;;;<p>Q</p>;<p>a1</p>;<p>ar</p>;<p>b1</p>;<p>br</p>;<p>c1</p>;<p>cr</p>;<p>d1</p>;<p>dr</p>;2;<p>THese are additional notes</p>;2019-09-03 09:23:52;2019-09-03 09:23:52;;L;
10;9;;;<p>2+4</p>;<p>7</p>;<p>.</p>;<p>6</p>;<p>.</p>;<p>4</p>;<p>.</p>;<p>5</p>;<p>.</p>;2;<p>2+4=6</p>;2019-09-03 09:42:57;2019-09-03 09:42:57;;L;
11;8;;;<p>Find the place value of each of the digits shown in the brackets?</p><p>960(6)</p>;<p>Ones</p>;<p>.</p>;<p>Tens</p>;<p>.</p>;<p>Tenths</p>;<p>.</p>;<p>Hundreds</p>;<p>.</p>;2;<p>6 occupies the tens place value</p>;2019-09-03 09:46:06;2019-09-03 09:46:06;;L;
12;;;;<p>2+2</p>;<p>2</p>;<p>.</p>;<p>8</p>;<p>.</p>;<p>7</p>;<p>.</p>;<p>4</p>;<p>.</p>;4;<p>.</p>;2019-09-03 10:11:03;2019-09-03 10:11:03;;L;
